simnum,trial.type,ons.cue,ons.stim,ons.feedback,fix.after.cue,fix.after.stim,fix.after.feedback
9517,reward.low,5,9.165349040762521,11.74455172184389,2.1653490407625213,2.0792026810813695,3.628312273416668
9517,reward.high,17.37286399526056,21.94727794022765,24.56147642893484,2.574413944967091,2.1141984887071885,3.7887659282423556
9517,neutral,30.350242357177194,34.485220447182655,37.50547229772201,2.134978090005461,2.5202518505393527,4.695830549579114
9517,loss.low,44.20130284730112,48.62482583563542,51.75883153482573,2.423522988334298,2.634005699190311,3.0609504664316773
9517,loss.high,56.81978200125741,61.275331090495456,64.22988757188432,2.4555490892380476,2.454556481388863,3.7401089244522154
9517,loss.low,69.96999649633653,74.41643190174364,77.23993768397486,2.446435405407101,2.323505782231223,4.838192944880575
9517,reward.low,84.07813062885543,88.63552449899726,91.64286492281826,2.557393870141823,2.507340423821006,4.232486144639552
9517,reward.high,97.87535106745781,102.31889474613126,105.54391143581597,2.44354367867345,2.7250166896847077,4.002108799759299
9517,reward.low,111.54602023557527,115.68827440671157,118.50145099661313,2.142254171136301,2.313176589901559,4.432989457156509
9517,loss.high,124.93444045376964,129.22071497270372,131.86198599706404,2.2862745189340785,2.1412710243603215,4.803751287981868
9517,loss.low,138.6657372850459,143.34124373702798,146.49978850845946,2.6755064519820735,2.6585447714314796,3.3557257489301264
9517,neutral,151.8555142573896,155.8566424077726,159.0484449857613,2.0011281503830105,2.6918025779887103,4.616494815796614
9517,loss.low,165.66493980155792,170.09141637315042,172.91947437589988,2.4264765715925023,2.328058002749458,4.240441999398172
9517,neutral,179.15991637529805,183.5115848829737,186.7064827834256,2.3516685076756403,2.694897900451906,4.763383811805397
9517,reward.low,193.469866595231,197.6230495775235,200.39580564480275,2.153182982292492,2.2727560672792606,4.316805738955736
9517,neutral,206.71261138375849,211.44981536327396,214.41167705779662,2.7372039795154706,2.4618616945226677,4.223624360281974
9517,loss.high,220.6353014180786,224.7743993655895,227.8416082735639,2.1390979475108907,2.5672089079744183,4.792099054902792
9517,neutral,234.6337073284667,239.27287059131777,242.0383728137822,2.6391632628510706,2.26550222246442,3.305531869176775
9517,neutral,247.34390468295896,252.0104661913938,254.82945155963534,2.6665615084348246,2.318985368241556,4.724667995702475
9517,reward.high,261.5541195553378,266.2645279589342,269.5017927910667,2.710408403596375,2.737264832132496,4.15744046214968
9517,loss.high,275.65923325321637,279.71327776438557,282.2302347605,2.054044511169195,2.016956996114459,3.2229121662676334
9517,loss.high,287.45314692676766,292.09789252176415,295.3255467849085,2.6447455949964933,2.727654263144359,4.857221900485456
9517,reward.high,302.18276868539397,306.4615492969169,309.68494187970646,2.2787806115229614,2.723392582789529,4.422866132110357
9517,neutral,316.1078080118168,320.5981474252767,323.62737847305834,2.4903394134598784,2.52923104778165,3.955572639591992
9517,reward.high,329.58295111265033,334.0830834839144,337.3005063683959,2.500132371264044,2.7174228844814934,4.470105852931738
9517,neutral,343.7706122213276,348.00715622806456,351.0609001860721,2.236544006736949,2.5537439580075443,4.672262709587812
9517,loss.low,357.7331628956599,361.970545700402,364.90259137924295,2.237382804742083,2.43204567884095,4.298608150798827
9517,reward.low,371.2011995300418,375.6891616950161,378.41666349041043,2.487962164974306,2.227501795394346,4.402698558289558
9517,neutral,384.8193620487,389.44487671076786,392.2204032065929,2.6255146620678715,2.2755264958250336,3.180356409866363
9517,neutral,397.40075961645925,402.01673283893615,404.8265619982849,2.615973222476896,2.3098291593487374,18
