simnum,trial.type,ons.cue,ons.stim,ons.feedback,fix.after.cue,fix.after.stim,fix.after.feedback
1034,reward.low,5,9.677512648806442,12.751565181650221,2.6775126488064416,2.5740525328437798,3.22370547009632
1034,reward.high,17.97527065174654,22.421602371963672,25.33981728873914,2.446331720217131,2.4182149167754687,3.851617679465562
1034,loss.low,31.191434968204703,35.29645649599843,38.128604986239225,2.105021527793724,2.3321484902407974,4.089509641285986
1034,reward.low,44.21811462752521,48.86553458956769,52.10088462306885,2.647419962042477,2.735350033501163,3.3562119067646563
1034,loss.high,57.45709652983351,62.00483086146414,64.77094862156082,2.547734331630636,2.2661177600966766,4.3756745285354555
1034,neutral,71.14662315009627,75.84599013830302,78.999543527083,2.699366988206748,2.653553388779983,4.078667529858649
1034,reward.low,85.07821105694165,89.59187453234335,92.8092139576911,2.5136634754016995,2.7173394253477454,4.354311385657638
1034,neutral,99.16352534334874,103.7063619485707,106.81825286499225,2.5428366052219644,2.611890916421544,4.242611546069384
1034,loss.low,113.06086441106163,117.13946877897251,119.73859551158966,2.0786043679108843,2.099126732617151,3.0766980522312224
1034,reward.high,124.81529356382089,129.0943296403857,131.8953164126142,2.2790360765648074,2.300986772228498,3.6619543922133744
1034,neutral,137.55727080482757,141.9726767759421,144.79931244289037,2.4154059711145237,2.3266356669482775,3.5328784668818116
1034,reward.low,150.33219090977218,154.84028615313582,157.48469813889824,2.508095243363641,2.1444119857624173,4.0497736181132495
1034,neutral,163.5344717570115,167.80394486471778,170.7098384507117,2.2694731077062897,2.4058935859939083,3.9250985085964203
1034,neutral,176.6349369593081,181.33616592007456,184.40957878815243,2.701228960766457,2.5734128680778667,3.8768471591174603
1034,loss.high,190.2864259472699,194.59529439086327,197.70512808579952,2.308868443593383,2.609833694936242,4.602815666701645
1034,reward.high,204.30794375250116,208.8498218919849,211.46280213916907,2.5418781394837424,2.1129802471841685,3.9804007369093597
1034,loss.high,217.44320287607843,221.92243870120728,224.6755052439985,2.4792358251288533,2.2530665427912027,3.0936488355509937
1034,reward.low,229.76915407954948,234.07804502680665,237.27970004093368,2.3088909472571686,2.7016550141270272,4.652532818261534
1034,loss.low,243.9322328591952,248.48135221318807,251.40054062654963,2.5491193539928645,2.419188413361553,3.885130397044122
1034,loss.high,257.28567102359375,261.91118837799877,265.0405523010995,2.6255173544050194,2.6293639231007546,4.78758783172816
1034,loss.low,271.8281401328277,276.29650134505937,279.2685925269034,2.4683612122316845,2.4720911818440072,4.610013944096863
1034,neutral,285.87860647100024,290.52951135649346,293.3038928316091,2.650904885493219,2.2743814751156606,4.0695272563025355
1034,reward.high,299.37342008791165,303.74341959989397,306.8440194321447,2.3699995119823143,2.6005998322507367,3.5197887355461717
1034,reward.high,312.3638081676909,316.5934117094148,319.5910129530239,2.229603541723918,2.497601243609097,3.9729929715394974
1034,neutral,325.5640059245634,330.10691786336247,333.17857746972004,2.5429119387990795,2.5716596063575707,4.85284511744976
1034,loss.high,340.0314225871698,344.76516653748695,347.46980558522046,2.733743950317148,2.204639047733508,3.5610755369998515
1034,neutral,353.0308811222203,357.7058595008566,360.8516933268984,2.674978378636297,2.6458338260417804,4.27786921383813
1034,loss.low,367.1295625407365,371.2718133068993,374.14971641643206,2.1422507661627606,2.377903109532781,4.751806051470339
1034,neutral,380.9015224679024,385.1406338112429,388.1672231036937,2.2391113433404826,2.526589292450808,3.688513877335936
1034,neutral,393.8557369810296,398.11184806522215,400.7107244426152,2.2561110841925256,2.098876377393026,18
